"","STABBR","degType","year","statetotal","stem_high_any","totalawards","share"
"845","MS","Bachelor's",2013,14136,1,4093,0.289544425580079
"846","MS","Bachelor's",2013,14136,0,10043,0.710455574419921
"847","MS","Bachelor's",2014,14371,1,4539,0.315844408878992
"848","MS","Bachelor's",2014,14371,0,9832,0.684155591121008
"849","MS","Master's and Higher",2010,5556,0,4099,0.73776097912167
"850","MS","Master's and Higher",2010,5556,1,1457,0.26223902087833
"851","MS","Master's and Higher",2011,6066,1,1611,0.265578635014837
"852","MS","Master's and Higher",2011,6066,0,4455,0.734421364985163
"853","MS","Master's and Higher",2012,6128,1,1654,0.26990861618799
"854","MS","Master's and Higher",2012,6128,0,4474,0.73009138381201
"855","MS","Master's and Higher",2013,6204,1,1612,0.259832366215345
"856","MS","Master's and Higher",2013,6204,0,4592,0.740167633784655
"857","MS","Master's and Higher",2014,6243,1,1759,0.281755566234182
"858","MS","Master's and Higher",2014,6243,0,4484,0.718244433765818
"859","MT","Associate's and below",2010,2526,1,760,0.300870942201108
"860","MT","Associate's and below",2010,2526,0,1766,0.699129057798892
"861","MT","Associate's and below",2011,2949,0,2021,0.685317056629366
"862","MT","Associate's and below",2011,2949,1,928,0.314682943370634
"863","MT","Associate's and below",2012,3335,0,2342,0.702248875562219
"864","MT","Associate's and below",2012,3335,1,993,0.297751124437781
"865","MT","Associate's and below",2013,3371,0,2376,0.704835360427173
"866","MT","Associate's and below",2013,3371,1,995,0.295164639572827
"867","MT","Associate's and below",2014,3487,1,972,0.278749641525667
"868","MT","Associate's and below",2014,3487,0,2515,0.721250358474333
"869","MT","Bachelor's",2010,5451,0,3787,0.6947349110255
"870","MT","Bachelor's",2010,5451,1,1664,0.3052650889745
"871","MT","Bachelor's",2011,5780,1,1827,0.316089965397924
"872","MT","Bachelor's",2011,5780,0,3953,0.683910034602076
"873","MT","Bachelor's",2012,5617,1,1809,0.322058038098629
"874","MT","Bachelor's",2012,5617,0,3808,0.677941961901371
"875","MT","Bachelor's",2013,5881,1,2055,0.349430368984867
"876","MT","Bachelor's",2013,5881,0,3826,0.650569631015133
"877","MT","Bachelor's",2014,6177,0,3911,0.633155253359236
"878","MT","Bachelor's",2014,6177,1,2266,0.366844746640764
"879","MT","Master's and Higher",2010,1476,0,789,0.534552845528455
"880","MT","Master's and Higher",2010,1476,1,687,0.465447154471545
"881","MT","Master's and Higher",2011,1583,1,760,0.480101073910297
"882","MT","Master's and Higher",2011,1583,0,823,0.519898926089703
"883","MT","Master's and Higher",2012,1667,0,891,0.534493101379724
"884","MT","Master's and Higher",2012,1667,1,776,0.465506898620276
"885","MT","Master's and Higher",2013,1675,1,824,0.491940298507463
"886","MT","Master's and Higher",2013,1675,0,851,0.508059701492537
"887","MT","Master's and Higher",2014,1595,0,812,0.509090909090909
"888","MT","Master's and Higher",2014,1595,1,783,0.490909090909091
"889","NC","Associate's and below",2010,44798,1,11408,0.254654225635073
"890","NC","Associate's and below",2010,44798,0,33387,0.745278807089602
"891","NC","Associate's and below",2011,51762,1,13262,0.256211120126734
"892","NC","Associate's and below",2011,51762,0,38500,0.743788879873266
"893","NC","Associate's and below",2012,51139,0,38824,0.759185748645848
"894","NC","Associate's and below",2012,51139,1,12315,0.240814251354152
