"","comp","state","awlevel","year","share"
"191",1,"PA",2,2010,0.0280546570730741
"192",0,"PR",2,2010,0.801193520886616
"193",1,"PR",2,2010,0.0994458653026428
"194",0,"RI",2,2010,0.866562009419152
"195",1,"RI",2,2010,0.00627943485086342
"196",0,"SC",2,2010,0.956837606837607
"197",1,"SC",2,2010,0.00384615384615385
"198",0,"SD",2,2010,0.742214532871972
"199",1,"SD",2,2010,0.105536332179931
"200",0,"TN",2,2010,0.866123269316659
"201",1,"TN",2,2010,0.024452880750335
"202",0,"TX",2,2010,0.872151967731386
"203",1,"TX",2,2010,0.0326501689741633
"204",0,"UT",2,2010,0.91304347826087
"205",1,"UT",2,2010,0.0214046822742475
"206",0,"VA",2,2010,0.711094471483839
"207",1,"VA",2,2010,0.00998377636340946
"208",0,"VT",2,2010,0.896984924623116
"209",1,"VT",2,2010,0.0100502512562814
"210",0,"WA",2,2010,0.84343504072898
"211",1,"WA",2,2010,0.0686179759768052
"212",0,"WI",2,2010,0.903438303341902
"213",1,"WI",2,2010,0.0147814910025707
"214",0,"WV",2,2010,0.819633353045535
"215",1,"WV",2,2010,0.0662329982259018
"216",0,"WY",2,2010,0.713393476752255
"217",1,"WY",2,2010,0.0242886884108258
"218",0,"AK",3,2010,0.608438818565401
"219",1,"AK",3,2010,0.0759493670886076
"220",0,"AL",3,2010,0.521309251856082
"221",1,"AL",3,2010,0.140562535693889
"222",0,"AR",3,2010,0.346442468037799
"223",1,"AR",3,2010,0.0446081156197888
"224",0,"AS",3,2010,0.300724637681159
"225",1,"AS",3,2010,0.0289855072463768
"226",0,"AZ",3,2010,0.737409714069682
"227",1,"AZ",3,2010,0.0585988021569135
"228",0,"CA",3,2010,0.556526252901482
"229",1,"CA",3,2010,0.0281480465804139
"230",0,"CO",3,2010,0.555250137438153
"231",1,"CO",3,2010,0.0515393073117097
"232",0,"CT",3,2010,0.476371537208039
"233",1,"CT",3,2010,0.0371175086003983
"234",0,"DC",3,2010,0.760626398210291
"235",1,"DC",3,2010,0.0984340044742729
"236",0,"DE",3,2010,0.709281961471103
"237",1,"DE",3,2010,0.0834792761237595
"238",0,"FL",3,2010,0.278266773966402
"239",1,"FL",3,2010,0.0335605069912484
"240",0,"FM",3,2010,0.540540540540541
"241",1,"FM",3,2010,0.162162162162162
"242",0,"GA",3,2010,0.488626198083067
"243",1,"GA",3,2010,0.0730990415335463
"244",0,"GU",3,2010,0.843243243243243
"245",1,"GU",3,2010,0.0648648648648649
"246",0,"HI",3,2010,0.460435951030158
"247",1,"HI",3,2010,0.0406091370558376
"248",0,"IA",3,2010,0.462980496118159
"249",1,"IA",3,2010,0.0602789875654863
"250",0,"ID",3,2010,0.45327868852459
"251",1,"ID",3,2010,0.0612021857923497
"252",0,"IL",3,2010,0.605851619644723
"253",1,"IL",3,2010,0.0370689655172414
"254",0,"IN",3,2010,0.785824060982357
"255",1,"IN",3,2010,0.0639331161246696
"256",0,"KS",3,2010,0.457027540360874
"257",1,"KS",3,2010,0.032644824311491
"258",0,"KY",3,2010,0.537027622436875
"259",1,"KY",3,2010,0.0527876631079478
"260",0,"LA",3,2010,0.692936170212766
"261",1,"LA",3,2010,0.103489361702128
"262",0,"MA",3,2010,0.610860820595334
"263",1,"MA",3,2010,0.0770716009654063
"264",0,"MD",3,2010,0.456217866323907
"265",1,"MD",3,2010,0.068043059125964
"266",0,"ME",3,2010,0.71030436376971
"267",1,"ME",3,2010,0.0517051705170517
"268",0,"MH",3,2010,0.714285714285714
"269",0,"MI",3,2010,0.581235932064661
"270",1,"MI",3,2010,0.0673555691971898
"271",0,"MN",3,2010,0.597547859754786
"272",1,"MN",3,2010,0.0639922563992256
"273",0,"MO",3,2010,0.465091831055593
"274",1,"MO",3,2010,0.0633232329478696
"275",0,"MP",3,2010,0.35
"276",1,"MP",3,2010,0.0833333333333333
"277",0,"MS",3,2010,0.57682542906469
"278",1,"MS",3,2010,0.0551436985884026
"279",0,"MT",3,2010,0.596461187214612
"280",1,"MT",3,2010,0.0616438356164384
"281",0,"NC",3,2010,0.54574407748353
"282",1,"NC",3,2010,0.0719863880284455
"283",0,"ND",3,2010,0.487589398401346
"284",1,"ND",3,2010,0.127050904501472
"285",0,"NE",3,2010,0.657136980666392
"286",1,"NE",3,2010,0.0734265734265734
"287",0,"NH",3,2010,0.752455130375889
"288",1,"NH",3,2010,0.0612935997290891
"289",0,"NJ",3,2010,0.467968304935522
"290",1,"NJ",3,2010,0.046610388937801
"291",0,"NM",3,2010,0.522756827048114
"292",1,"NM",3,2010,0.0620471855842467
"293",0,"NV",3,2010,0.584070796460177
"294",1,"NV",3,2010,0.0550639134709931
"295",0,"NY",3,2010,0.614565435860862
"296",1,"NY",3,2010,0.0547378999578565
"297",0,"OH",3,2010,0.6589077288385
"298",1,"OH",3,2010,0.0986923514263737
"299",0,"OK",3,2010,0.698663674385392
"300",1,"OK",3,2010,0.0526369478731001
"301",0,"OR",3,2010,0.413811973295392
"302",1,"OR",3,2010,0.0449819415563095
"303",0,"PA",3,2010,0.6825246949448
"304",1,"PA",3,2010,0.0930781522370715
"305",0,"PR",3,2010,0.821139527355131
"306",1,"PR",3,2010,0.116704435092263
"307",0,"PW",3,2010,0.282608695652174
"308",1,"PW",3,2010,0.152173913043478
"309",0,"RI",3,2010,0.667030269975457
"310",1,"RI",3,2010,0.124897736569403
"311",0,"SC",3,2010,0.560644129739607
"312",1,"SC",3,2010,0.0647555961626313
"313",0,"SD",3,2010,0.777947932618683
"314",1,"SD",3,2010,0.104645227156713
"315",0,"TN",3,2010,0.497142857142857
"316",1,"TN",3,2010,0.0696955503512881
"317",0,"TX",3,2010,0.490627043522488
"318",1,"TX",3,2010,0.0641938530843566
"319",0,"UT",3,2010,0.36771219379915
"320",1,"UT",3,2010,0.037241254632559
"321",0,"VA",3,2010,0.565480156086419
"322",1,"VA",3,2010,0.11121157323689
"323",0,"VI",3,2010,0.675675675675676
"324",1,"VI",3,2010,0.216216216216216
"325",0,"VT",3,2010,0.64488188976378
"326",1,"VT",3,2010,0.047244094488189
"327",0,"WA",3,2010,0.348177083333333
"328",1,"WA",3,2010,0.0520833333333333
"329",0,"WI",3,2010,0.654303599374022
"330",1,"WI",3,2010,0.117292644757433
"331",0,"WV",3,2010,0.599900596421471
"332",1,"WV",3,2010,0.0511928429423459
"333",0,"WY",3,2010,0.675052410901468
"334",1,"WY",3,2010,0.0377358490566038
"335",0,"AK",4,2010,1
"336",0,"AL",4,2010,0.0368349249658936
"337",0,"AR",4,2010,0.933717579250721
"338",1,"AR",4,2010,0.0288184438040346
"339",0,"AZ",4,2010,0.706586826347305
"340",0,"CA",4,2010,0.621914509331728
"341",1,"CA",4,2010,0.0078266104756171
"342",0,"CO",4,2010,0.99623352165725
"343",0,"CT",4,2010,0.824561403508772
"344",1,"CT",4,2010,0.00292397660818713
"345",0,"DC",4,2010,0.744186046511628
"346",0,"DE",4,2010,1
"347",0,"FL",4,2010,0.649639423076923
"348",1,"FL",4,2010,0.0255408653846154
"349",0,"FM",4,2010,1
"350",0,"GA",4,2010,0.82946001367054
"351",1,"GA",4,2010,0.0898838004101162
"352",0,"GU",4,2010,0
"353",1,"HI",4,2010,1
"354",0,"IA",4,2010,0.944792973651192
"355",0,"ID",4,2010,0.908952959028832
"356",1,"ID",4,2010,0.0895295902883156
"357",0,"IL",4,2010,0.564915758176412
"358",0,"IN",4,2010,0.892177589852008
"359",0,"KS",4,2010,0.551724137931034
"360",1,"KS",4,2010,0.206896551724138
"361",0,"KY",4,2010,1
"362",0,"LA",4,2010,0.872340425531915
"363",0,"MA",4,2010,0.744031093836757
"364",1,"MA",4,2010,0.0294280955024986
"365",0,"MD",4,2010,0.819987585350714
"366",1,"MD",4,2010,0.119801365611421
"367",0,"ME",4,2010,0.761904761904762
"368",0,"MI",4,2010,0.932857142857143
"369",1,"MI",4,2010,0.00714285714285714
"370",0,"MN",4,2010,0.805373134328358
"371",1,"MN",4,2010,0.0334328358208955
"372",0,"MO",4,2010,0.83710407239819
"373",1,"MO",4,2010,0
"374",0,"MP",4,2010,1
"375",0,"MS",4,2010,0.327272727272727
"376",0,"MT",4,2010,1
"377",0,"NC",4,2010,0.162626262626263
"378",0,"ND",4,2010,0.995951417004049
"379",0,"NE",4,2010,1
"380",0,"NJ",4,2010,0.95
"381",0,"NM",4,2010,0.805084745762712
"382",1,"NM",4,2010,0.194915254237288
"383",0,"NV",4,2010,0.940390544707091
"384",1,"NV",4,2010,0.0184994861253854
"385",0,"NY",4,2010,0.733144933387162
"386",0,"OH",4,2010,0.958509142053446
"387",1,"OH",4,2010,0.000351617440225035
"388",0,"OK",4,2010,0.677047289504037
"389",1,"OK",4,2010,0.176470588235294
"390",0,"OR",4,2010,0.983268983268983
"391",1,"OR",4,2010,0.00128700128700129
"392",0,"PA",4,2010,0.772512912643162
"393",1,"PA",4,2010,0.0132494947226589
"394",0,"PR",4,2010,1
"395",0,"PW",4,2010,0.775862068965517
"396",0,"RI",4,2010,0.944063926940639
"397",1,"RI",4,2010,0.0559360730593607
"398",0,"SC",4,2010,1
"399",0,"SD",4,2010,0.906542056074766
"400",0,"TN",4,2010,0.437886720609234
"401",1,"TN",4,2010,0.0252260828177059
"402",0,"TX",4,2010,0.802055406613047
"403",1,"TX",4,2010,0.0120643431635389
"404",0,"UT",4,2010,1
"405",0,"VA",4,2010,1
"406",0,"WA",4,2010,0.837389380530973
"407",1,"WA",4,2010,0.0663716814159292
"408",0,"WI",4,2010,0.879518072289157
"409",1,"WI",4,2010,0.000803212851405623
"410",0,"WV",4,2010,0.925373134328358
"411",0,"WY",4,2010,1
"412",0,"AK",5,2010,0.828729281767956
"413",1,"AK",5,2010,0.114180478821363
"414",0,"AL",5,2010,0.845805905931674
"415",1,"AL",5,2010,0.0751296289486265
"416",0,"AR",5,2010,0.810433162552399
"417",1,"AR",5,2010,0.0562800807328055
"418",0,"AZ",5,2010,0.81460077055932
"419",1,"AZ",5,2010,0.0926221159381781
"420",0,"CA",5,2010,0.819029178150694
"421",1,"CA",5,2010,0.0818825663747689
"422",0,"CO",5,2010,0.826488441172672
"423",1,"CO",5,2010,0.0883701407723105
"424",0,"CT",5,2010,0.829385464231355
"425",1,"CT",5,2010,0.0473744292237443
"426",0,"DC",5,2010,0.887455919395466
"427",1,"DC",5,2010,0.0639798488664987
"428",0,"DE",5,2010,0.86373589354893
"429",1,"DE",5,2010,0.0604682499578912
"430",0,"FL",5,2010,0.800128564213233
"431",1,"FL",5,2010,0.0764268331879333
"432",0,"GA",5,2010,0.829678547596585
"433",1,"GA",5,2010,0.0852067465887388
"434",0,"GU",5,2010,0.968299711815562
"435",1,"GU",5,2010,0.0288184438040346
"436",0,"HI",5,2010,0.854049135577798
"437",1,"HI",5,2010,0.0571428571428571
"438",0,"IA",5,2010,0.864319036869827
"439",1,"IA",5,2010,0.0581790820165538
"440",0,"ID",5,2010,0.810346590328187
"441",1,"ID",5,2010,0.0809733156119006
"442",0,"IL",5,2010,0.798606880843287
"443",1,"IL",5,2010,0.073059300262203
"444",0,"IN",5,2010,0.80373471286275
"445",1,"IN",5,2010,0.0837701086833209
"446",0,"KS",5,2010,0.810166417751227
"447",1,"KS",5,2010,0.0594196714316194
"448",0,"KY",5,2010,0.821322160148976
"449",1,"KY",5,2010,0.0517225325884544
"450",0,"LA",5,2010,0.775864482710346
"451",1,"LA",5,2010,0.0664986700265995
"452",0,"MA",5,2010,0.817473410790129
"453",1,"MA",5,2010,0.0846116044789217
"454",0,"MD",5,2010,0.795321240888286
"455",1,"MD",5,2010,0.12588574334633
"456",0,"ME",5,2010,0.828129170002669
"457",1,"ME",5,2010,0.0579129970643181
"458",0,"MI",5,2010,0.817332728586067
"459",1,"MI",5,2010,0.095264492936216
"460",0,"MN",5,2010,0.831912824619609
"461",1,"MN",5,2010,0.0691568470426725
"462",0,"MO",5,2010,0.83647606508041
"463",1,"MO",5,2010,0.0664440891563999
"464",0,"MP",5,2010,1
"465",0,"MS",5,2010,0.848538735116747
"466",1,"MS",5,2010,0.0544301840111334
"467",0,"MT",5,2010,0.838852913968548
"468",1,"MT",5,2010,0.0688251618871415
"469",0,"NC",5,2010,0.840148252028448
"470",1,"NC",5,2010,0.0623660222378043
"471",0,"ND",5,2010,0.799902470741222
"472",1,"ND",5,2010,0.0934655396618986
"473",0,"NE",5,2010,0.851919427820756
"474",1,"NE",5,2010,0.0597722960151803
"475",0,"NH",5,2010,0.876907730673317
"476",1,"NH",5,2010,0.0488778054862843
"477",0,"NJ",5,2010,0.817651230022364
"478",1,"NJ",5,2010,0.0686739758904707
"479",0,"NM",5,2010,0.810315940641455
"480",1,"NM",5,2010,0.0800622307324079
"481",0,"NV",5,2010,0.831045969353764
"482",1,"NV",5,2010,0.0764823451032645
"483",0,"NY",5,2010,0.794410322699077
"484",1,"NY",5,2010,0.0702304556336574
"485",0,"OH",5,2010,0.82319864802581
"486",1,"OH",5,2010,0.0749116607773852
"487",0,"OK",5,2010,0.788094876852273
"488",1,"OK",5,2010,0.0601325039194862
"489",0,"OR",5,2010,0.820065756700209
"490",1,"OR",5,2010,0.0655574374813191
"491",0,"PA",5,2010,0.81659144637868
"492",1,"PA",5,2010,0.0858693316140125
"493",0,"PR",5,2010,0.795066744051074
"494",1,"PR",5,2010,0.107196749854904
"495",0,"RI",5,2010,0.829020979020979
"496",1,"RI",5,2010,0.0760489510489511
"497",0,"SC",5,2010,0.848404026499183
"498",1,"SC",5,2010,0.0584186526714273
"499",0,"SD",5,2010,0.808264462809917
"500",1,"SD",5,2010,0.0899908172635445
"501",0,"TN",5,2010,0.776239722507708
"502",1,"TN",5,2010,0.0590955806783145
"503",0,"TX",5,2010,0.767156498476629
"504",1,"TX",5,2010,0.0694527011964034
"505",0,"UT",5,2010,0.810624276427108
"506",1,"UT",5,2010,0.0907026449372161
"507",0,"VA",5,2010,0.781231841952353
"508",1,"VA",5,2010,0.0878849506101104
"509",0,"VI",5,2010,0.948412698412698
"510",1,"VI",5,2010,0.0396825396825397
"511",0,"VT",5,2010,0.818448249267315
"512",1,"VT",5,2010,0.0573808422026839
"513",0,"WA",5,2010,0.773392130679171
"514",1,"WA",5,2010,0.0803391199031086
"515",0,"WI",5,2010,0.845306993852406
"516",1,"WI",5,2010,0.0670576433366772
"517",0,"WV",5,2010,0.77762191599967
"518",1,"WV",5,2010,0.0618862942487004
"519",0,"WY",5,2010,0.88247529901196
"520",1,"WY",5,2010,0.0899635985439418
"521",0,"AK",6,2010,0.719298245614035
"522",1,"AK",6,2010,0.0584795321637427
"523",0,"AL",6,2010,0.736
"524",1,"AL",6,2010,0.008
"525",0,"AR",6,2010,0.921760391198044
"526",1,"AR",6,2010,0.0146699266503667
"527",0,"AZ",6,2010,0.95595003287311
"528",1,"AZ",6,2010,0.0262984878369494
"529",0,"CA",6,2010,0.642223132595931
"530",1,"CA",6,2010,0.0419227092721562
"531",0,"CO",6,2010,0.80794701986755
"532",1,"CO",6,2010,0.0811258278145695
"533",0,"CT",6,2010,0.711751662971175
"534",1,"CT",6,2010,0.0221729490022173
"535",0,"DC",6,2010,0.609677419354839
"536",1,"DC",6,2010,0.204838709677419
"537",0,"DE",6,2010,1
"538",1,"DE",6,2010,0
"539",0,"FL",6,2010,0.9
"540",1,"FL",6,2010,0
"541",0,"GA",6,2010,0.739130434782609
"542",1,"GA",6,2010,0.0869565217391304
"543",0,"HI",6,2010,0.808035714285714
"544",1,"HI",6,2010,0.0178571428571429
"545",0,"IA",6,2010,0.929292929292929
"546",1,"IA",6,2010,0.0252525252525253
"547",0,"ID",6,2010,0.846153846153846
"548",1,"ID",6,2010,0.0549450549450549
"549",0,"IL",6,2010,0.602851323828921
"550",1,"IL",6,2010,0.00814663951120163
"551",0,"IN",6,2010,0.76231884057971
"552",1,"IN",6,2010,0.00289855072463768
"553",0,"KS",6,2010,0.941176470588235
"554",1,"KS",6,2010,0
"555",0,"KY",6,2010,0.727969348659004
"556",1,"KY",6,2010,0.0957854406130268
"557",0,"LA",6,2010,0.545454545454546
"558",1,"LA",6,2010,0.0202020202020202
"559",0,"MA",6,2010,0.650746268656716
"560",1,"MA",6,2010,0.152985074626866
"561",0,"MD",6,2010,0.546480743691899
"562",1,"MD",6,2010,0.273572377158035
"563",0,"ME",6,2010,0.661764705882353
"564",1,"ME",6,2010,0.161764705882353
"565",0,"MI",6,2010,0.744224422442244
"566",1,"MI",6,2010,0.0536303630363036
"567",0,"MN",6,2010,0.690876350540216
"568",1,"MN",6,2010,0.122448979591837
"569",0,"MO",6,2010,0.576030927835051
"570",1,"MO",6,2010,0.234536082474227
"571",0,"MS",6,2010,0
