,STEM,STABBR,AWLEVEL,year,share
446,0,AZ,5,2010,0.733404189
447,1,AZ,5,2010,0.266507241
448,0,CA,5,2010,0.719975811
449,1,CA,5,2010,0.280024189
450,0,CO,5,2010,0.682842567
451,1,CO,5,2010,0.317157433
452,0,CT,5,2010,0.733304795
453,1,CT,5,2010,0.266695205
454,0,DC,5,2010,0.752241814
455,1,DC,5,2010,0.247758186
456,0,DE,5,2010,0.674583123
457,1,DE,5,2010,0.325416877
458,0,FL,5,2010,0.725412094
459,1,FL,5,2010,0.274587906
460,0,GA,5,2010,0.687567592
461,1,GA,5,2010,0.312432408
462,0,GU,5,2010,0.850144092
463,1,GU,5,2010,0.149855908
464,0,HI,5,2010,0.689171975
465,1,HI,5,2010,0.310828025
466,0,IA,5,2010,0.759849511
467,1,IA,5,2010,0.240150489
468,0,ID,5,2010,0.690317963
469,1,ID,5,2010,0.309682037
470,0,IL,5,2010,0.710596711
471,1,IL,5,2010,0.289403289
472,0,IN,5,2010,0.695346357
473,1,IN,5,2010,0.304653643
474,0,KS,5,2010,0.702314914
475,1,KS,5,2010,0.297685086
476,0,KY,5,2010,0.736778399
477,1,KY,5,2010,0.263221601
478,0,LA,5,2010,0.674039853
479,1,LA,5,2010,0.325960147
480,0,MA,5,2010,0.701516375
481,1,MA,5,2010,0.298483625
482,0,MD,5,2010,0.654822851
483,1,MD,5,2010,0.345177149
484,0,ME,5,2010,0.666533227
485,1,ME,5,2010,0.333466773
486,0,MI,5,2010,0.664482857
487,1,MI,5,2010,0.335517143
488,0,MN,5,2010,0.6891946
489,1,MN,5,2010,0.3108054
490,0,MO,5,2010,0.702271231
491,1,MO,5,2010,0.297728769
492,0,MP,5,2010,1
493,0,MS,5,2010,0.719421679
494,1,MS,5,2010,0.280578321
495,0,MT,5,2010,0.69213691
496,1,MT,5,2010,0.30786309
497,0,NC,5,2010,0.711028749
498,1,NC,5,2010,0.288931183
499,0,ND,5,2010,0.634427828
500,1,ND,5,2010,0.365572172
501,0,NE,5,2010,0.693621369
502,1,NE,5,2010,0.306378631
503,0,NH,5,2010,0.755511222
504,1,NH,5,2010,0.244488778
505,0,NJ,5,2010,0.741722577
506,1,NJ,5,2010,0.258277423
507,0,NM,5,2010,0.733006223
508,1,NM,5,2010,0.266993777
509,0,NV,5,2010,0.718587608
510,1,NV,5,2010,0.281412392
511,0,NY,5,2010,0.738597686
512,1,NY,5,2010,0.261402314
513,0,OH,5,2010,0.685619911
514,1,OH,5,2010,0.314380089
515,0,OK,5,2010,0.677337784
516,1,OK,5,2010,0.322662216
517,0,OR,5,2010,0.713360566
518,1,OR,5,2010,0.286639434
519,0,PA,5,2010,0.688265635
520,1,PA,5,2010,0.311734365
521,0,PR,5,2010,0.659024956
522,1,PR,5,2010,0.340975044
523,0,RI,5,2010,0.706730769
524,1,RI,5,2010,0.293269231
525,0,SC,5,2010,0.731566721
526,1,SC,5,2010,0.268433279
527,0,SD,5,2010,0.604958678
528,1,SD,5,2010,0.395041322
529,0,TN,5,2010,0.718396711
530,1,TN,5,2010,0.281603289
531,0,TX,5,2010,0.696858512
532,1,TX,5,2010,0.303113621
533,0,UT,5,2010,0.66715647
534,1,UT,5,2010,0.33284353
535,0,VA,5,2010,0.714181954
536,1,VA,5,2010,0.285818046
537,0,VI,5,2010,0.726190476
538,1,VI,5,2010,0.273809524
539,0,VT,5,2010,0.711707543
540,1,VT,5,2010,0.288292457
541,0,WA,5,2010,0.692431912
542,1,WA,5,2010,0.307568088
543,0,WI,5,2010,0.666975332
544,1,WI,5,2010,0.333024668
545,0,WV,5,2010,0.728855516
546,1,WV,5,2010,0.271144484
547,0,WY,5,2010,0.590223609
548,1,WY,5,2010,0.409776391
549,0,AK,6,2010,0.941520468
550,1,AK,6,2010,0.058479532
551,0,AL,6,2010,0.92
552,1,AL,6,2010,0.08
553,0,AR,6,2010,0.936430318
554,1,AR,6,2010,0.063569682
555,0,AZ,6,2010,0.91913215
556,1,AZ,6,2010,0.08086785
557,0,CA,6,2010,0.929810187
558,1,CA,6,2010,0.070189813
559,0,CO,6,2010,0.645695364
560,1,CO,6,2010,0.354304636
561,0,CT,6,2010,0.900221729
562,1,CT,6,2010,0.099778271
563,0,DC,6,2010,0.596774194
564,1,DC,6,2010,0.375806452
565,0,DE,6,2010,1
566,1,DE,6,2010,0
567,0,FL,6,2010,0.839130435
568,1,FL,6,2010,0.160869565
569,0,GA,6,2010,0.834782609
570,1,GA,6,2010,0.165217391
571,0,HI,6,2010,0.9375
572,1,HI,6,2010,0.0625
573,0,IA,6,2010,0.865319865
574,1,IA,6,2010,0.134680135
575,0,ID,6,2010,0.923076923
576,1,ID,6,2010,0.076923077
577,0,IL,6,2010,0.802443992
578,1,IL,6,2010,0.197556008
579,0,IN,6,2010,0.944927536
580,1,IN,6,2010,0.055072464
581,0,KS,6,2010,0.62745098
582,1,KS,6,2010,0.37254902
583,0,KY,6,2010,0.800766284
584,1,KY,6,2010,0.199233716
585,0,LA,6,2010,0.818181818
586,1,LA,6,2010,0.181818182
587,0,MA,6,2010,0.739552239
588,1,MA,6,2010,0.260447761
589,0,MD,6,2010,0.551128818
590,1,MD,6,2010,0.448871182
591,0,ME,6,2010,0.823529412
592,1,ME,6,2010,0.176470588
593,0,MI,6,2010,0.882838284
594,1,MI,6,2010,0.117161716
595,0,MN,6,2010,0.741296519
596,1,MN,6,2010,0.258703481
597,0,MO,6,2010,0.533505155
598,1,MO,6,2010,0.466494845
599,0,MS,6,2010,1
600,1,MS,6,2010,0
601,0,MT,6,2010,1
602,0,NC,6,2010,0.593220339
603,1,NC,6,2010,0.406779661
604,0,ND,6,2010,0.842105263
605,1,ND,6,2010,0.157894737
606,0,NE,6,2010,0.825396825
607,1,NE,6,2010,0.174603175
608,0,NH,6,2010,0.934931507
609,1,NH,6,2010,0.065068493
610,0,NJ,6,2010,0.523632994
611,1,NJ,6,2010,0.476367006
612,0,NM,6,2010,0.885245902
613,1,NM,6,2010,0.114754098
614,0,NV,6,2010,1
615,0,NY,6,2010,0.86281337
616,1,NY,6,2010,0.13718663
617,0,OH,6,2010,0.744086022
618,1,OH,6,2010,0.255913978
619,0,OK,6,2010,0.258064516
620,1,OK,6,2010,0.741935484
621,0,OR,6,2010,0.933397683
622,1,OR,6,2010,0.066602317
623,0,PA,6,2010,0.747776033
624,1,PA,6,2010,0.252223967
625,0,PR,6,2010,0.446236559
626,1,PR,6,2010,0.553763441
627,0,RI,6,2010,0.933333333
628,1,RI,6,2010,0.066666667
629,0,SC,6,2010,0.825396825
630,1,SC,6,2010,0.174603175
631,0,SD,6,2010,0.964285714
632,1,SD,6,2010,0.035714286
633,0,TN,6,2010,0.773333333
634,1,TN,6,2010,0.226666667
635,0,TX,6,2010,0.657960199
636,1,TX,6,2010,0.342039801
637,0,UT,6,2010,0.95754717
638,1,UT,6,2010,0.04245283
639,0,VA,6,2010,0.680735931
640,1,VA,6,2010,0.319264069
641,0,VT,6,2010,0.586206897
642,1,VT,6,2010,0.413793103
643,0,WA,6,2010,0.939169139
644,1,WA,6,2010,0.060830861
645,0,WI,6,2010,0.902140673
