"","CBSA","degType","year","Cbsatotal","comp_high_any","totalawards","share"
"117",10300,"Associate's and below",2012,8,0,3,0.375
"118",10300,"Associate's and below",2012,8,1,2,0.25
"119",10300,"Associate's and below",2013,7,1,3,0.428571428571429
"120",10300,"Associate's and below",2013,7,0,2,0.285714285714286
"121",10300,"Associate's and below",2014,10,1,2,0.2
"122",10300,"Associate's and below",2014,10,0,3,0.3
"123",10300,"Bachelor's",2010,935,1,41,0.0438502673796791
"124",10300,"Bachelor's",2010,935,0,734,0.785026737967914
"125",10300,"Bachelor's",2011,1028,0,824,0.801556420233463
"126",10300,"Bachelor's",2011,1028,1,24,0.0233463035019455
"127",10300,"Bachelor's",2012,1195,0,949,0.794142259414226
"128",10300,"Bachelor's",2012,1195,1,20,0.0167364016736402
"129",10300,"Bachelor's",2013,1145,0,939,0.820087336244541
"130",10300,"Bachelor's",2013,1145,1,27,0.0235807860262009
"131",10300,"Bachelor's",2014,1198,1,15,0.0125208681135225
"132",10300,"Bachelor's",2014,1198,0,999,0.833889816360601
"133",10300,"Master's and Higher",2010,154,0,109,0.707792207792208
"134",10300,"Master's and Higher",2011,136,0,81,0.595588235294118
"135",10300,"Master's and Higher",2012,117,0,72,0.615384615384615
"136",10300,"Master's and Higher",2013,96,1,2,0.0208333333333333
"137",10300,"Master's and Higher",2013,96,0,66,0.6875
"138",10300,"Master's and Higher",2014,122,0,88,0.721311475409836
"139",10300,"Master's and Higher",2014,122,1,6,0.0491803278688525
"140",10380,"Associate's and below",2010,1900,1,101,0.0531578947368421
"141",10380,"Associate's and below",2010,1900,0,1507,0.793157894736842
"142",10380,"Associate's and below",2011,1990,0,1641,0.824623115577889
"143",10380,"Associate's and below",2011,1990,1,118,0.0592964824120603
"144",10380,"Associate's and below",2012,1915,0,1667,0.870496083550914
"145",10380,"Associate's and below",2012,1915,1,54,0.0281984334203655
"146",10380,"Associate's and below",2013,1664,1,76,0.0456730769230769
"147",10380,"Associate's and below",2013,1664,0,1421,0.853966346153846
"148",10380,"Associate's and below",2014,1703,1,43,0.0252495596007046
"149",10380,"Associate's and below",2014,1703,0,1513,0.888432178508514
"150",10380,"Bachelor's",2010,575,1,36,0.0626086956521739
"151",10380,"Bachelor's",2010,575,0,524,0.911304347826087
"152",10380,"Bachelor's",2011,644,1,57,0.0885093167701863
"153",10380,"Bachelor's",2011,644,0,567,0.880434782608696
"154",10380,"Bachelor's",2012,750,0,665,0.886666666666667
"155",10380,"Bachelor's",2012,750,1,56,0.0746666666666667
"156",10380,"Bachelor's",2013,829,0,746,0.899879372738239
"157",10380,"Bachelor's",2013,829,1,60,0.0723763570566948
"158",10380,"Bachelor's",2014,952,0,801,0.841386554621849
"159",10380,"Bachelor's",2014,952,1,64,0.0672268907563025
"160",10380,"Master's and Higher",2010,25,0,22,0.88
"161",10380,"Master's and Higher",2011,73,0,68,0.931506849315068
"162",10380,"Master's and Higher",2012,71,0,62,0.873239436619718
"163",10380,"Master's and Higher",2013,67,0,64,0.955223880597015
"164",10380,"Master's and Higher",2014,77,0,69,0.896103896103896
"165",10420,"Associate's and below",2010,2552,1,134,0.0525078369905956
"166",10420,"Associate's and below",2010,2552,0,2226,0.872257053291536
"167",10420,"Associate's and below",2011,2787,1,197,0.0706853247219232
"168",10420,"Associate's and below",2011,2787,0,2328,0.835306781485468
